FieldID,Var1,Var2,Var3,Var4,Var5,Var6
353,53,83,0.89,18,2,0
354,54.5,13.625,1.06,20,14,0
355,47.5,11.875,1,19,5,0
356,76.5,19.125,1.35,25,10,0
357,72,18,1.31,24,13,0
358,48.5,88,1.47,33,5,0
359,65,16.25,1.64,45,4,0
360,64,16,1.77,46,6,0
361,82.5,20.625,1.79,61,25,0
362,66.5,16.625,1.53,32,17,0
363,40,10,1.55,34,3,0
364,38.5,66,1.46,23,3,0
365,59,14.75,1.14,23,7,0
366,59.5,14.875,1.85,22,3,0
367,78.5,19.625,2.3,31,6,0
368,67,16.75,1.51,17,7,0
369,68,17,1.33,36,8,0
370,52,13,1.18,20,8,0
371,92.5,23.125,1.93,18,15,0
372,68.5,17.125,1.35,22,5,0
373,22.5,64,0.43,8,1,0
374,57.5,14.375,1,18,10,0
375,90,22.5,2.05,35,13,0
376,44.5,11.125,0.99,18,2,0
377,45,11.25,1.06,22,9,0
378,82,20.5,1.76,36,3,0
379,62.5,80,0.98,23,3,0
380,60,15,1.15,28,5,0
381,44,11,0.79,7,5,0
382,45,77,1.76,46,6,0
383,45,85,2.08,45,5,0
384,77.5,19.375,2.5,69,9,0
385,44.5,83,1.15,8,6,0
386,47.5,81,1.78,36,6,0
387,36,38,1.23,47,8,0
388,60,15,2.08,46,10,0
389,48,12,1.55,41,15,0
390,51,99,2.29,49,12,0
391,53,96,1.99,52,3,0
392,52,13,2,30,5,0
393,69,17.25,2.26,71,3,0
394,37,97,1.6,45,5,0
395,51,86,1.98,46,9,0
396,86,21.5,3.52,38,15,0
397,69,17.25,3.64,48,12,0
398,26.375,6.59375,3.42,58,36,0
399,55.5,13.875,2.21,57,7,0
400,60,15,1.74,62,13,0
401,54.5,13.625,2.12,25,7,0
402,44,11,1.33,67,11,0
403,52.5,96,1.47,32,9,0
404,58,14.5,2.2,27,12,0
405,76,19,2.12,27,7,0
406,75,18.75,2.81,41,12,0
407,92.5,23.125,2.23,23,6,0
408,80.5,20.125,2.56,30,11,0
409,57,14.25,2.05,26,7,0
410,64.5,16.125,2.3,41,10,0
411,82.5,20.625,2.7,37,8,0
412,25.5,53,0.97,24,8,0
413,39,9.75,1.31,36,2,0
414,32,65,1.21,12,2,0
415,68.625,17.15625,6.94,118,43,0
416,46.25,11.5625,5.61,94,18,0
417,54.5,13.625,1.68,18,8,0
418,54,13.5,2.21,63,13,0
419,56,82,1.85,34,8,0
420,60,15,2.02,29,17,0
421,49.5,12.375,1.54,23,3,0
422,61.125,15.28125,6.63,127,36,0
423,51,12.75,1.27,34,7,0
424,100,25,2.9,47,10,0
425,28.875,7.21875,3.15,63,17,0
426,57.5,14.375,1.62,24,5,0
427,64.5,16.125,3.43,37,5,0
428,51,12.75,1.78,27,3,0
429,66,16.5,1.96,31,8,0
430,59,14.75,1.96,47,12,0
431,28.25,7.0625,3.44,45,16,0
432,87,21.75,3.11,50,12,0
433,46.5,71,1.4,17,12,0
434,42,66,1.83,40,7,0
435,49,12.25,5.93,150,40,0
436,30.125,7.53125,3.63,79,16,0
437,55.5,99,1.69,35,0,0
438,49,73,1.73,51,11,0
439,50,12.5,1.71,52,14,0
440,47,11.75,2.03,38,12,0
441,40.5,56,0.93,27,5,0
442,69.5,17.375,1.7,24,10,0
443,64.5,16.125,1.26,20,7,0
444,54,13.5,1.35,17,9,0
445,69,17.25,1.28,14,9,0
446,75.5,18.875,1.5,14,10,0
447,72,18,1.74,19,2,0
448,44,82,0.93,15,3,0
449,35,8.75,1.21,18,4,0
450,53,93,1.36,28,12,0
451,48.5,87,1.41,50,6,0
452,36,73,0.99,18,4,0
453,64.5,16.125,1.73,53,5,0
454,32,68,1.1,24,4,0
455,41.5,93,1.3,18,9,0
456,46,94,1.08,22,25,0
